,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
0,670454353,False,finalized,3,2/10/15 3:45,Moldova,1.0,30-Sep-1895,1.0,White,1.0,Na,1.0,Straight,1.0,1927,1.0,Best Director,http://www.nndb.com/people/320/000043191/,,,Two Arabian Knights,Lewis Milestone,,,,
1,670454354,False,finalized,3,2/10/15 2:03,Scotland,1.0,2-Feb-1886,1.0,White,1.0,Na,1.0,Straight,0.6842,1930,1.0,Best Director,http://www.nndb.com/people/626/000042500/,,,The Divine Lady,Frank Lloyd,,,,
2,670454355,False,finalized,3,2/10/15 2:05,Moldova,1.0,30-Sep-1895,1.0,White,1.0,Na,1.0,Straight,1.0,1931,0.6667,Best Director,http://www.nndb.com/people/320/000043191/,,,All Quiet on the Western Front,Lewis Milestone,,,,
5,670454358,False,finalized,3,2/10/15 3:50,Scotland,1.0,2-Feb-1886,1.0,White,1.0,Na,1.0,Straight,1.0,1934,1.0,Best Director,http://www.nndb.com/people/626/000042500/,,,Cavalcade,Frank Lloyd,,,,
6,670454359,False,finalized,3,2/10/15 2:07,Italy,1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1935,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,It Happened One Night,Frank Capra,,,,
8,670454361,False,finalized,3,2/10/15 1:47,Italy,1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1937,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,Mr. Deeds Goes to Town,Frank Capra,,,,
10,670454363,False,finalized,3,2/10/15 2:04,Italy,1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1939,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,You Can't Take It with You,Frank Capra,,,,
14,670454367,False,finalized,3,2/10/15 3:57,France,1.0,1-Jul-1902,1.0,White,1.0,Na,1.0,Straight,1.0,1943,1.0,Best Director,http://www.nndb.com/people/463/000032367/,,,Mrs. Miniver,William Wyler,,,,
15,670454368,False,finalized,3,2/10/15 2:02,Hungary,1.0,24-Dec-1886,1.0,White,1.0,Na,1.0,Straight,1.0,1944,1.0,Best Director,http://www.nndb.com/people/676/000032580/,,,Casablanca,Michael Curtiz,,,,
18,670454371,False,finalized,3,2/10/15 4:02,Austria,0.6667,22-Jun-06,1.0,White,1.0,Jewish,1.0,Straight,1.0,1946,1.0,Best Director,http://www.nndb.com/people/982/000024910/,,,The Lost Weekend,Billy Wilder,,,,
19,670454372,False,finalized,3,2/10/15 2:12,France,1.0,1-Jul-1902,1.0,White,1.0,Na,1.0,Straight,1.0,1947,1.0,Best Director,http://www.nndb.com/people/463/000032367/,,,The Best Years of Our Lives,William Wyler,,,,
20,670454373,False,finalized,3,2/10/15 1:46,Turkey,1.0,7-Sep-09,1.0,White,1.0,Na,1.0,Straight,1.0,1948,1.0,Best Director,http://www.nndb.com/people/537/000026459/,,,Gentleman's Agreement,Elia Kazan,,,,
26,670454379,False,finalized,3,2/10/15 1:57,Austria,1.0,29-Apr-07,1.0,White,1.0,Jewish,1.0,Straight,1.0,1954,1.0,Best Director,http://www.nndb.com/people/538/000032442/,,,From Here to Eternity,Fred Zinnemann,,,,
27,670454380,False,finalized,3,2/10/15 3:50,Turkey,1.0,7-Sep-09,1.0,White,1.0,Na,1.0,Straight,1.0,1955,1.0,Best Director,http://www.nndb.com/people/537/000026459/,,,On the Waterfront,Elia Kazan,,,,
30,670454383,False,finalized,3,2/10/15 2:07,England,0.6667,25-Mar-08,1.0,White,1.0,Na,1.0,Straight,0.6667,1958,1.0,Best Director,http://www.nndb.com/people/462/000032366/,,,The Bridge on the River Kwai,David Lean,,,,
32,670454385,False,finalized,3,2/10/15 1:55,France,1.0,1-Jul-1902,1.0,White,1.0,Na,1.0,Straight,1.0,1960,1.0,Best Director,http://www.nndb.com/people/463/000032367/,,,Ben-Hur,William Wyler,,,,
33,670454386,True,golden,87,,Austria,1.0,22-Jun-06,1.0,White,1.0,Jewish,0.963,Straight,1.0,1961,1.0,Best Director,http://www.nndb.com/people/982/000024910/,"Sucha, Galicia, Austria",22-Jun-06,The Apartment,Billy Wilder,,Jewish,,1961.0
35,670454388,False,finalized,3,2/10/15 2:05,England,1.0,25-Mar-08,1.0,White,1.0,Na,1.0,Straight,1.0,1963,1.0,Best Director,http://www.nndb.com/people/462/000032366/,,,Lawrence of Arabia,David Lean,,,,
36,670454389,False,finalized,3,2/10/15 1:57,England,1.0,5-Jun-28,1.0,White,1.0,Na,1.0,Bisexual,1.0,1964,1.0,Best Director,http://www.nndb.com/people/249/000043120/,,,Tom Jones,Tony Richardson,,,,
39,670454392,False,finalized,3,2/10/15 2:06,Austria,1.0,29-Apr-07,1.0,White,1.0,Jewish,1.0,Straight,1.0,1967,1.0,Best Director,http://www.nndb.com/people/538/000032442/,,,A Man for All Seasons,Fred Zinnemann,,,,
40,670454393,False,finalized,3,2/10/15 2:13,Germany,1.0,6-Nov-31,1.0,White,1.0,Jewish,1.0,Straight,1.0,1968,1.0,Best Director,http://www.nndb.com/people/455/000023386/,,,The Graduate,Mike Nichols,,,,
42,670454395,False,finalized,3,2/10/15 2:29,England,1.0,30-Dec-06,1.0,White,1.0,Na,1.0,Straight,1.0,1969,1.0,Best Director,http://www.nndb.com/people/290/000064098/,,,Oliver!,Carol Reed,,,,
43,670454396,False,finalized,3,2/10/15 2:01,England,1.0,16-Feb-26,1.0,White,1.0,Na,1.0,Gay,1.0,1969,1.0,Best Director,http://www.nndb.com/people/771/000032675/,,,Midnight Cowboy,John Schlesinger,,,,
44,670454397,False,finalized,3,2/10/15 3:56,Japan,1.0,30-May-20,1.0,White,1.0,Na,1.0,Straight,1.0,1970,1.0,Best Director,http://www.nndb.com/people/509/000032413/,,,Patton,Franklin J. Schaffner,,,,
49,670454402,False,finalized,3,2/10/15 1:59,Czechoslovakia,1.0,18-Feb-32,1.0,White,1.0,Na,1.0,Straight,1.0,1976,1.0,Best Director,http://www.nndb.com/people/622/000023553/,,,One Flew over the Cuckoo's Nest,Milos Forman,,,,
56,670454409,False,finalized,3,2/10/15 2:00,England,1.0,29-Aug-23,1.0,White,1.0,Na,1.0,Straight,1.0,1982,1.0,Best Director,http://www.nndb.com/people/750/000023681/,,,Gandhi,Richard Attenborough,,,,
58,670454411,False,finalized,3,2/10/15 2:12,Czechoslovakia,1.0,18-Feb-32,1.0,White,1.0,Na,1.0,Straight,1.0,1985,1.0,Best Director,http://www.nndb.com/people/622/000023553/,,,Amadeus,Milos Forman,,,,
61,670454414,False,finalized,3,2/10/15 2:05,Italy,1.0,16-Mar-41,1.0,White,1.0,Na,1.0,Straight,1.0,1988,1.0,Best Director,http://www.nndb.com/people/268/000024196/,,,The Last Emperor,Bernardo Bertolucci,,,,
70,670454423,False,finalized,3,2/10/15 2:19,England,1.0,6-Jan-54,1.0,White,1.0,Na,1.0,Straight,1.0,1997,1.0,Best Director,http://www.nndb.com/people/513/000032417/,,,The English Patient,Anthony Minghella,,,,
71,670454424,False,finalized,3,2/10/15 1:53,Canada,1.0,16-Aug-54,1.0,White,1.0,Atheist,0.6667,Straight,1.0,1998,1.0,Best Director,http://www.nndb.com/people/385/000025310/,,,Titanic,James Cameron,,,,
73,670454426,False,finalized,3,2/10/15 3:45,England,1.0,1-Aug-65,1.0,White,1.0,Na,1.0,Straight,1.0,2000,1.0,Best Director,http://www.nndb.com/people/059/000025981/,,,American Beauty,Sam Mendes,,,,
76,670454429,False,finalized,3,2/10/15 2:04,France,1.0,18-Aug-33,1.0,White,1.0,See Note,0.3333,Straight,1.0,2003,1.0,Best Director,http://www.nndb.com/people/541/000023472/,,,The Pianist,Roman Polanski,,,,
77,670454430,False,finalized,3,2/10/15 2:09,New Zealand,1.0,31-Oct-61,1.0,White,1.0,Na,1.0,Straight,1.0,2004,1.0,Best Director,http://www.nndb.com/people/848/000025773/,,,The Lord of the Rings: Return of the King,Peter Jackson,,,,
79,670454432,False,finalized,3,2/10/15 2:09,Taiwan,1.0,23-Oct-54,1.0,Asian,1.0,Na,1.0,Straight,1.0,2006,1.0,Best Director,http://www.nndb.com/people/394/000025319/,,,Brokeback Mountain,Ang Lee,,,,
82,670454435,True,golden,81,,England,1.0,20-Oct-56,1.0,White,1.0,Roman Catholic,0.9624,Straight,1.0,2009,0.9643,Best Director,http://www.nndb.com/people/887/000044755/,,,Slumdog Millionaire,Danny Boyle,,Roman Catholic,,
84,670454437,False,finalized,3,2/10/15 1:56,England,1.0,1972,1.0,White,1.0,Na,1.0,Na,1.0,2011,1.0,Best Director,http://www.nndb.com/people/093/000268286/,,,The King's Speech,Tom Hooper,,,,
85,670454438,False,finalized,3,2/10/15 3:57,France,1.0,29-Mar-67,1.0,White,1.0,Jewish,1.0,Straight,1.0,2012,1.0,Best Director,http://www.nndb.com/people/302/000281456/,,,The Artist,Michel Hazanavicius,,,,
86,670454439,False,finalized,3,2/10/15 2:04,Taiwan,1.0,23-Oct-54,1.0,Asian,1.0,Na,1.0,Straight,1.0,2013,1.0,Best Director,http://www.nndb.com/people/394/000025319/,,,Life of Pi,Ang Lee,,,,
87,670454440,False,finalized,3,2/10/15 2:04,Switzerland,1.0,23-Jul-1884,1.0,White,1.0,Na,1.0,Bisexual,1.0,1929,1.0,Best Actor,http://www.nndb.com/people/738/000063549/,,,The Last Command,Emil Jannings,,,,
89,670454442,False,finalized,3,2/10/15 2:41,England,1.0,10-Apr-1868,1.0,White,1.0,Na,0.6897,Straight,1.0,1930,1.0,Best Actor,http://www.nndb.com/people/740/000063551/,,,Desraeli,George Arliss,,,,
92,670454445,False,finalized,3,2/10/15 2:19,England,1.0,1-Jul-1899,1.0,White,1.0,Roman Catholic,1.0,Gay,1.0,1934,1.0,Best Actor,http://www.nndb.com/people/884/000042758/,,,The Private Life of Henry VIII,Charles Laughton,,,,
94,670454447,False,finalized,3,2/10/15 2:05,England,1.0,11-Dec-1883,1.0,White,1.0,Anglican/episcopalian,1.0,Straight,1.0,1936,1.0,Best Actor,http://www.nndb.com/people/452/000047311/,,,The Informer,Victor McLaglen,,,,
95,670454448,False,finalized,3,2/10/15 2:06,Ukraine,1.0,22-Sep-1895,1.0,White,1.0,Jewish,1.0,Straight,1.0,1937,1.0,Best Actor,http://www.nndb.com/people/741/000063552/,,,The Story of Louis Pasteur,Paul Muni,,,,
98,670454451,False,finalized,3,2/10/15 2:00,England,1.0,18-Mar-05,1.0,White,1.0,Na,1.0,Straight,1.0,1940,1.0,Best Actor,http://www.nndb.com/people/742/000063553/,,,Goodbye Mr. Chips,Robert Donat,,,,
102,670454455,False,finalized,3,2/10/15 2:05,Hungary,1.0,26-May-1887,1.0,White,1.0,Na,1.0,Straight,1.0,1944,1.0,Best Actor,http://www.nndb.com/people/713/000042587/,,,Watch on the Rhine,Paul Lukas,,,,
104,670454457,False,finalized,3,2/10/15 2:41,Wales,1.0,3-Jan-07,1.0,White,1.0,Na,0.6897,Straight,1.0,1946,0.6897,Best Actor,http://www.nndb.com/people/814/000042688/,,,The Lost Weekend,Ray Milland,,,,
106,670454459,False,finalized,3,2/10/15 2:02,England,1.0,9-Feb-1891,1.0,White,1.0,Na,1.0,Straight,1.0,1948,1.0,Best Actor,http://www.nndb.com/people/619/000042493/,,,A Double Life,Ronald Colman,,,,
107,670454460,False,finalized,3,2/10/15 2:03,England,1.0,22-May-07,1.0,White,1.0,Na,1.0,Bisexual,1.0,1949,1.0,Best Actor,http://www.nndb.com/people/607/000022541/,,,Hamlet,Laurence Olivier,,,,
109,670454462,False,finalized,3,2/10/15 1:53,Puerto Rico,1.0,8-Jan-09,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,1951,1.0,Best Actor,http://www.nndb.com/people/311/000026233/,,,Cyrano de Bergerac,Jose Ferrer,,,,
115,670454468,False,finalized,3,2/10/15 2:02,Russia,1.0,11-Jul-20,1.0,White,1.0,Na,1.0,Straight,1.0,1957,1.0,Best Actor,http://www.nndb.com/people/459/000026381/,,,The King and I,Yul Brynner,,,,
116,670454469,False,finalized,3,2/10/15 2:03,England,1.0,2-Apr-14,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1958,1.0,Best Actor,http://www.nndb.com/people/751/000023682/,,,The Bridge on the River Kwai,Alec Guinness,,,,
117,670454470,False,finalized,3,2/10/15 2:03,England,1.0,1-Mar-09,1.0,White,1.0,Na,1.0,Straight,1.0,1959,1.0,Best Actor,http://www.nndb.com/people/690/000031597/,,,Separate Tables,David Niven,,,,
120,670454473,False,finalized,3,2/10/15 2:11,Austria,1.0,8-Dec-30,1.0,White,1.0,Na,1.0,Straight,1.0,1962,1.0,Best Actor,http://www.nndb.com/people/351/000023282/,,,Judgement at Nuremberg,Maximilian Schell,,,,
123,670454476,False,finalized,3,2/10/15 1:55,England,1.0,5-Mar-08,1.0,White,1.0,Na,1.0,Straight,1.0,1965,1.0,Best Actor,http://www.nndb.com/people/132/000043003/,,,My Fair Lady,Rex Harrison,,,,
125,670454478,False,finalized,3,2/10/15 1:53,England,1.0,21-Jan-22,1.0,White,1.0,Na,1.0,Straight,1.0,1967,1.0,Best Actor,http://www.nndb.com/people/950/000033851/,,,A Man For All Seasons,Paul Scofield,,,,
135,670454488,False,finalized,3,2/10/15 3:45,England,1.0,28-Sep-16,1.0,White,1.0,Na,1.0,Straight,1.0,1977,1.0,Best Actor,http://www.nndb.com/people/745/000063556/,,,Network,Peter Finch,,,,
141,670454494,False,finalized,3,2/10/15 2:01,England,1.0,31-Dec-43,1.0,Multiracial,1.0,Quaker,1.0,Straight,1.0,1983,1.0,Best Actor,http://www.nndb.com/people/519/000024447/,,,Gandhi,Ben Kingsley,,,,
148,670454501,False,finalized,3,2/10/15 4:06,England,1.0,29-Apr-57,1.0,White,1.0,Na,1.0,Straight,1.0,1990,1.0,Best Actor,http://www.nndb.com/people/788/000022722/,,,My Left Foot,Daniel Day-Lewis,,,,
149,670454502,False,finalized,3,2/10/15 1:59,England,1.0,19-Sep-48,1.0,White,1.0,Na,1.0,Straight,1.0,1991,1.0,Best Actor,http://www.nndb.com/people/594/000023525/,,,Reversal of Fortune,Jeremy Irons,,,,
150,670454503,False,finalized,3,2/10/15 3:51,Wales,1.0,31-Dec-37,1.0,White,1.0,Na,1.0,Straight,1.0,1992,1.0,Best Actor,http://www.nndb.com/people/005/000023933/,,,Silence of the Lambs,Anthony Hopkins,,,,
155,670454508,False,finalized,3,2/10/15 2:08,Australia,1.0,6-Jul-51,1.0,White,1.0,Na,1.0,Straight,1.0,1997,1.0,Best Actor,http://www.nndb.com/people/126/000025051/,,,Shine,Geoffrey Rush,,,,
157,670454510,False,finalized,3,2/10/15 1:59,Italy,1.0,27-Oct-52,1.0,White,1.0,Na,1.0,Straight,1.0,1999,1.0,Best Actor,http://www.nndb.com/people/259/000025184/,,,Life is Beautiful,Roberto Benigni,,,,
159,670454512,False,finalized,3,2/10/15 4:07,New Zealand,1.0,7-Apr-64,1.0,White,1.0,Na,0.6562,Straight,1.0,2001,1.0,Best Actor,http://www.nndb.com/people/782/000022716/,,,Gladiator,Russell Crowe,,,,
166,670454519,False,finalized,3,2/10/15 2:07,England,1.0,29-Apr-57,1.0,White,1.0,Na,1.0,Straight,1.0,2008,1.0,Best Actor,http://www.nndb.com/people/788/000022722/,,,There Will Be Blood,Daniel Day-Lewis,,,,
169,670454522,False,finalized,3,2/10/15 2:19,England,1.0,10-Sep-60,1.0,White,1.0,Na,1.0,Straight,1.0,2011,1.0,Best Actor,http://www.nndb.com/people/813/000043684/,,,The King's Speech,Colin Firth,,,,
170,670454523,False,finalized,3,2/10/15 3:53,France,1.0,19-Jun-72,1.0,White,1.0,Na,1.0,Straight,1.0,2012,1.0,Best Actor,http://www.nndb.com/people/303/000281457/,,,The Artist,Jean Dujardin,,,,
171,670454524,False,finalized,3,2/10/15 2:00,England,1.0,29-Apr-57,1.0,White,1.0,Na,1.0,Straight,1.0,2013,1.0,Best Actor,http://www.nndb.com/people/788/000022722/,,,Lincoln,Daniel Day-Lewis,,,,
174,670454527,False,finalized,3,2/10/15 1:48,Austria,1.0,22-Mar-1896,1.0,White,1.0,Na,1.0,Straight,1.0,1938,1.0,Best Supporting Actor,http://www.nndb.com/people/115/000063923/,,,The Life of Emile Zola,Joseph Schildkraut,,,,
178,670454531,False,finalized,3,2/10/15 4:07,England,1.0,27-Jul-1880,1.0,White,1.0,Na,1.0,Straight,1.0,1942,1.0,Best Supporting Actor,http://www.nndb.com/people/689/000031596/,,,How Green Was My Valley,Donald Crisp,,,,
181,670454534,False,finalized,3,2/10/15 2:16,Ireland,1.0,10-Mar-1888,1.0,White,1.0,Protestant,1.0,Na,1.0,1945,1.0,Best Supporting Actor,http://www.nndb.com/people/126/000063934/,,,Going My Way,Barry Fitzgerald,,,,
183,670454536,False,finalized,3,2/10/15 2:04,Canada,1.0,14-Jan-14,1.0,White,1.0,Na,1.0,Straight,1.0,1947,1.0,Best Supporting Actor,http://www.nndb.com/people/124/000063932/,,,The Best Years of Our Lives,Harold Russell,,,,
184,670454537,False,finalized,3,2/10/15 2:07,Wales,1.0,26-Sep-1875,0.6667,White,1.0,Na,1.0,Na,1.0,1948,1.0,Best Supporting Actor,http://www.nndb.com/people/123/000063931/,,,Miracle on 34th Street,Edmund Gwenn,,,,
185,670454538,False,finalized,3,2/10/15 2:05,Canada,1.0,6-Apr-1884,1.0,White,1.0,Na,1.0,Straight,1.0,1949,1.0,Best Supporting Actor,http://www.nndb.com/people/122/000063930/,,,The Treasure of the Sierra Madre,Walter Huston,,,,
187,670454540,False,finalized,3,2/10/15 2:08,Russia,1.0,3-Jul-06,1.0,White,1.0,Na,1.0,Straight,1.0,1951,1.0,Best Supporting Actor,http://www.nndb.com/people/728/000043599/,,,All About Eve,George Sanders,,,,
